title,url
OpenAI – How to delete your account,https://help.openai.com/en/articles/6378407-how-to-delete-your-account
We Will Not Be Divided,https://notdivided.org
The Future of AI,https://lucijagregov.com/2026/02/26/the-future-of-ai/
Unsloth Dynamic 2.0 GGUFs,https://unsloth.ai/docs/basics/unsloth-dynamic-2.0-ggufs
Don't trust AI agents,https://nanoclaw.dev/blog/nanoclaw-security-model
Show HN: SplatHash – A lightweight alternative to BlurHash and ThumbHash,https://github.com/junevm/splathash
OpenAI agrees with Dept. of War to deploy models in their classified network,https://twitter.com/sama/status/2027578652477821175
The Eternal Promise: A History of Attempts to Eliminate Programmers,https://www.ivanturkovic.com/2026/01/22/history-software-simplification-cobol-ai-hype/
A new California law says all operating systems need to have age verification,https://www.pcgamer.com/software/operating-systems/a-new-california-law-says-all-operating-systems-including-linux-need-to-have-some-form-of-age-verification-at-account-setup/
OpenAI raises $110B on $730B pre-money valuation,https://techcrunch.com/2026/02/27/openai-raises-110b-in-one-of-the-largest-private-funding-rounds-in-history/
"US and Israel launch strikes on Iran, as Trump says ‘massive’ campaign underway",https://www.cnn.com/2026/02/28/middleeast/israel-attack-iran-intl-hnk
Cash issuing terminals,https://computer.rip/2026-02-27-ibm-atm.html
Smallest transformer that can add two 10-digit numbers,https://github.com/anadim/AdderBoard
SHELL: Global Tool for Calling and Chaining Procedures in the System (1965) [pdf],https://people.csail.mit.edu/saltzer/Multics/Multics-Documents/MDN/MDN-4.pdf
Croatia declared free of landmines after 31 years,https://glashrvatske.hrt.hr/en/domestic/croatia-declared-free-of-landmines-after-31-years-12593533
"More Cows, More Wives",https://www.worksinprogress.news/p/more-cows-more-wives
Statement on the comments from Secretary of War Pete Hegseth,https://www.anthropic.com/news/statement-comments-secretary-war
A Fuzzer for the Toy Optimizer,https://bernsteinbear.com/blog/toy-fuzzer/
Bootc and OSTree: Modernizing Linux System Deployment,https://a-cup-of.coffee/blog/ostree-bootc/
Qt45: A small polymerase ribozyme that can synthesize itself,https://www.science.org/doi/10.1126/science.adt2760
